Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
N3173-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Mar;;;"";"";"";"B"
N3174-22;"OSAE-502 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional de operadores SAE";GOAG;GOAG_GTVC;"A definir";A definir;Mai;;;"";"";"";"B"
N3175-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Mai;;;"";"";"";"B"
N3176-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Mai;;;"";"";"";"B"
N3177-22;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"Interávia Táxi Aéreo Ltda.";Orlando-FL;Jan;Jan;;"marcos.duarte";"00058.069432/2022-93";"";"A"
N3178-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Jun;;;"";"";"";"B"
N3179-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Jul;;;"";"";"";"B"
N3180-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Ago;;;"";"";"";"B"
N3181-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Set;;;"";"";"";"B"
N3182-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Set;;;"";"";"";"B"
N3183-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Out;;;"";"";"";"B"
N3184-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Out;;;"";"";"";"B"
N3185-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Nov;;;"";"";"";"B"
N3186-22;"O135-902 - Inspeção Remota de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"A definir";A definir;Dez;;;"";"";"";"B"
