Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
D2286-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBJD";Jundiaí - SP;Nov;Nov;Nov;"gesse.silva";"00058.004351/2024-18";"GRC 1920/2024 1920/2024";"A"
D2287-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBBE";Belém - PA;Ago;Jul;Jul;"paulo.jesus";"00058.000831/2024-00";"736/2024";"A"
D2288-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SDEN";Porto Belo - SC;Ago;Ago;Ago;"jose.cosendei";"00058.004350/2024-65";"GRC 721/2024";"A"
D2289-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SWPM";Pimenta Bueno - RO;Jun;Jun;Jun;"jose.cosendei";"00058.004349/2024-31";"GRC 529/2024";"A"
D2290-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBPA";Porto Alegre - RS;Abr;Abr;Abr;"jose.cosendei";"00058.004348/2024-96";"GRC 300/2024";"A"
D2291-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBJH";São Roque - SP;Ago;Jul;Jul;"luciano.soares";"00058.004341/2024-74";"GRC 823/2024 823/2024";"A"
D2292-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBBE";Belém - PA;Ago;Ago;Jul;"paulo.jesus";"00058.000832/2024-46";"GRC 736/2024";"A"
D2293-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador - BA;Fev;Fev;Fev;"luciano.soares";"00058.004195/2024-87";"GRC 143/2024";"A"
D2294-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBJR";Rio de Janeiro - RJ;Ago;Jun;Jun;"luciano.soares";"00058.004336/2024-61";"GRC 1069/2024";"A"
D2295-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBGO";Goiânia - GO;Abr;Abr;Abr;"luciano.soares";"00058.000833/2024-91";"GRC 397/2024";"A"
D2296-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBME";Macaé - RJ;Jun;Abr;Abr;"paulo.jesus";"00058.004333/2024-28";"GRC 535/2024";"A"
D2297-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo - SP;Ago;Ago;Ago;"luciano.soares";"00058.004330/2024-94";"GRC 841/2024 841/2024";"A"
D2298-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBSN";Rio de Janeiro - RJ;Fev;Mar;Mar;"paulo.jesus";"00058.000834/2024-35";"GRC 145/2024";"A"
D2299-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBBV";Boa Vista - RR;Mai;Mai;Mai;"paulo.jesus";"00058.030526/2024-34";"GRC 532/2024";"A"
D2300-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBSP";São Paulo - SP;Jan;Jan;Jan;"paulo.jesus";"00058.000756/2024-79";"GRC 106/2024";"A"
D2301-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SSKG";Campo Grande - MS;Mar;Mar;Mar;"paulo.jesus";"00058.004305/2024-19";"GRC 159/2024";"A"
D2302-24;"RAMP-503 - Inspeção de Rampa - RBAC 91/135";GOAG;GOAG_GTVC;"SBSV";Salvador - BA;Set;Set;Set;"paulo.jesus";"00058.004301/2024-22";"GRC 928/2024";"A"
D2303-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;SFI;"SORRISO AVIAÇÃO AGRÍCOLA EIRELI";Sorriso - MT;Ago;Set;Set;"SFI";"00058.000700/2024-14";"663/2024";"A"
D2304-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;SFI;"OLIVEIRA E PICININ AVIAÇÃO AGRÍCOLA LTDA.";Sorriso - MT;Ago;Set;Set;"SFI";"00058.000701/2024-69";"663/2024";"A"
D2305-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;SFI;"PLAFÉRTIL AVIAÇÃO AGRÍCOLA LTDA.";Sorriso - MT;Ago;Set;Set;"SFI";"00058.000703/2024-58";"663/2024";"A"
D2306-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;SFI;"ATAQUE AVIACAO AGRICOLA LTDA";Vicentinópolis - GO;Out;Out;Out;"SFI";"00058.000704/2024-01";"1557/2024 1557/2024";"A"
D2307-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;SFI;"COMBATE AVIAÇÃO AGRÍCOLA";Vicentinópolis - GO;Out;Out;Out;"SFI";"00058.000705/2024-47";"1557/2024 1557/2024";"A"
D2308-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;SFI;"AEROSAFRA AVIAÇÃO AGRICOLA LTDA";Goiânia - GO;Out;Out;Out;"SFI";"00058.000706/2024-91";"1557/2024 1557/2024";"A"
D2309-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;SFI;"AGROMAIS AEROAGRÍCOLA LTDA.";BOA VISTA - RR;Jun;Mar;Mar;"SFI";"00058.000708/2024-81";"371/2024";"A"
D2310-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;GOAG_GTVC;"HELINEWS SERVIÇOS DE AEROCINEMATOGRAFIA LTDA.";Rio de Janeiro - RJ;Set;Jul;Jul;"felipe.gonzaga";"00058.012020/2024-43";"1168/2024";"A"
D2311-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;GOAG_GTVC;"VOAR VOOS PANORÂMICOS EIRELI.";Barreirinhas - MA;Ago;Ago;Ago;"antonio.dias";"00058.012018/2024-74";"1353/2024";"A"
D2312-24;"OSAE-501 - Inspeção de Vigilância em Empresa SAE";GOAG;GOAG_GTVC;"AVA SERVIÇOS AÉREOS ESPECIALIZADOS LTDA.";Barreirinhas - MA;Ago;Ago;Ago;"felipe.gonzaga";"00058.012009/2024-83";"1353/2024";"A"
D2313-24;"OP90-501 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional da Unidade Aérea Pública (UAP)";GOAG;GOAG_GTVC;"IBAMA - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (COAER)";Brasília - DF;Out;Nov;Nov;"gustavo.schettino";"00058.000096/2024-26";"remota 2128/2024 2130/2024";"A"
D2314-24;"O91K-501 - Inspeção de Vigilância de Base Principal de Operações";GOAG;GOAG_GTVC;"PRIME AVIATION TÁXI AÉREO E SERVIÇOS LTDA";Barueri - SP;Out;Out;Out;"antonio.dias";"00058.004679/2024-26";"1725/2024";"A"
D2315-24;"O91K-501 - Inspeção de Vigilância de Base Principal de Operações";GOAG;GOAG_GTVC;"AMARO AVIATION S.A.";São Roque - SP;Out;Out;Out;"antonio.dias";"00058.004708/2024-50";"1725/2024 1750/2024";"A"
