Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
1843-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"EJ Táxi Aéreo";Jundiaí - SP;Abr;Set;Set;"antonio.dias";"00058.075921/2022-84";"OS 1791/2023 Agendada 22/09/2023";"A"
1844-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"SOTAN - Sociedade de Táxi Aéreo do Nordeste";Dallas - TX;Abr;Mai;Mai;"savio.ferreira";"00058.075920/2022-30";"OS 868/2023 Agendada 08/05/2023";"A"
1845-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"HELIMARTE TÁXI AÉREO";São Paulo - SP;Abr;Jul;Jul;"savio.ferreira";"00058.038889/2023-37";"1277/2023 1281/2023 - Agendada 17/07/2023";"A"
1848-23;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";Campinas - SP;Mai;Ago;Ago;"mauro.tonelli";"00058.038892/2023-51";"OS 1613/2023 Agendada 30/08/2023";"A"
1849-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"A. R. T. TÁXI AÉREO LTDA";Itaituba - PA;Mai;Nov;Nov;"luciano.soares";"00058.075933/2022-17";"2178/2023 Agendada 29/11/2023";"A"
1850-23;"O135-501 - Inspeção de Vigilância de Base Principal";GOAG;GOAG_GTVC;"SANTAREM TAXI AEREO LTDA";Santarém - PA;Mai;Mai;Mai;"luciano.soares";"00058.009879/2023-94";"OS 663/2023 Agendada 22/05/2023";"A"
1851-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"TERRAL TÁXI AÉREO LTDA";Fortaleza - CE;Mai;Nov;Nov;"antonio.dias";"00058.075936/2022-42";"OS 1840/2023 Agendada  22/11/2023";"A"
1853-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"WDA TÁXI AÉREO Eireli.";Várzea Grande - MT;Jun;Jun;Jun;"mauro.tonelli";"00058.075954/2022-24";"OS 992/2023 Agendada 07/06/2023";"A"
1854-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"ULTRA PILOTS TÁXI AÉREO";Rio de Janeiro - RJ;Jun;Jul;Jul;"renato.ferrante";"00058.075951/2022-91";"OS 1312/2023 - Agendada 10/07/2023";"A"
1855-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"VOESYNC TÁXI AÉREO";Cascavel - PR;Jun;Mai;Mai;"bruno.jesus";"00058.075950/2022-46";"OS 932/2023.  Agendada 16/05/2023";"A"
1856-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"FRISONFLY";Eldorado do Sul - RS;Jun;Mar;Mar;"felipe.gonzaga";"00058.075949/2022-11";"OS 435/2023";"A"
1858-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"HELINORTE TÁXI AÉREO";Porto Belo - SC;Jul;Out;Out;"renato.ferrante";"00058.075957/2022-68";"OS 1808/2023 Agendada 25/10/2023";"A"
1859-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"ICARAÍ TURISMO TÁXI AÉREO LTDA.";Araucária - PR;Jul;Ago;Ago;"felipe.gonzaga";"00058.075956/2022-13";"OS 1532/2023 - Agendada dia 15/08/2023";"A"
1860-23;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"AZUL CONECTA";Jundiaí - SP;Jul;Nov;Nov;"eduardo.faria";"00058.054574/2023-37";"OS 2179/2023 Agendada 13/11/2023";"A"
1861-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"UNIÃO TÁXI AÉREO";Cuiabá - MT;Ago;Nov;Nov;"antonio.dias";"00058.075962/2022-71";"Agendada 17/11/2023";"A"
1862-23;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"ATA - AEROTÁXI ABAETÉ LTDA";Salvador - BA;Ago;Nov;Nov;"christian.duvoisin";"00058.066912/2023-83";"OS 2074/2023 Agendada 27/11/2023";"A"
1863-23;"O135-507 - Inspeção de Vigilância de Voo de Acompanhamento";GOAG;GOAG_GTVC;"LÍDER TÁXI AÉREO S/A AIR BRASIL - UOH";Jacarepaguá - RJ;Ago;Nov;Nov;"felipe.gonzaga";"00058.076048/2023-28";"2262/2023 Agendada 28/11/2023";"A"
1864-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"LINK TÁXI AÉREO LTDA.";Manaus - AM;Set;Jul;Jul;"bruno.jesus";"00058.075969/2022-92";"OS 1478/2023 - Agendada 28/07/2023";"A"
1865-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"UNIAIR TÁXI AÉREO LTDA.";Porto Alegre - RS;Set;Abr;Abr;"christian.duvoisin";"00058.075968/2022-48";"PCDP 0367/23, OS 169/2023";"A"
1866-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"GATE TÁXI AÉREO LTDA";CAE Dallas - EUA;Out;Out;Out;"edmarcio.pires";"00058.075973/2022-51";"1926/2023";"A"
1867-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"OPALAIR TÁXI AÉRO LTDA";Santarém - PA;Out;Out;Out;"savio.ferreira";"00058.075972/2022-14";"2038/2023 Agendada  27/10/2023";"A"
